Tahun Anggaran;Satuan Kerja;ID RUP;ID Tender;Nama Paket;Pemenang;Pagu;HPS;Harga Penawaran;Akun;Jenis Belanja;Jenis Pengadaan;1234;Metode Pengadaan;%Efisiensi;Lokasi_Prov;Klasifikasi BJ;Tanggal Pengumuman;Tanggal Akhir Masa Sanggah;Lama Tender (Hari Kerja)
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;37306466;37319011;Pengadaan Penambahan Lisensi XBRL Tahun Anggaran 2022;PT Indocyber Global Teknologi;7485000;7335300;7104000;536111;Modal;Pengadaan Barang;1;Tender;0,03;DKI Jakarta;IT;28/11/2022;12/12/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;37549224;37255011;Pemeliharaan Perangkat Lunak Antivirus Tahun Anggaran 2022;PT. Teknologi Mandiri Integritas;3666000;3654717;3508537;523199;Barang;Pengadaan Barang;1;Tender;0,04;DKI Jakarta;IT;25/11/2022;12/12/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;37280450;37209011;Pengadaan Infrastruktur Jaringan Komunikasi Data Paket II Tahun Anggaran 2022;PT. NEOSYSTEM INTEGRASI;3681183;2251602;1992450;532111;Modal;Pengadaan Barang;1;Tender;0,12;DKI Jakarta;IT;10/11/2022;28/11/2022;13
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;37254540;37182011;Pengadaan Database Komersial Tahun Anggaran 2022;PT KEKAR PILAR PRATAMA;8561000;8551564;8544780;521219;Barang;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;08/11/2022;22/11/2022;11
2022;KANTOR PUSAT DJKN;36775400;37144011;Pengadaan Jasa Penataan Arsip Satuan Tugas Penanganan Hak Tagih Negara dan Bantuan Likuiditas Bank Indonesia (SATGAS BLBI);INDORAJ ARSIP MULTIGUNA;807945;807941;727876;522191;Barang;Jasa Lainnya;1;Tender;0,1;Banten;Operasional/TUSI;25/10/2022;07/11/2022;10
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36867949;37134011;Pendampingan dan Audit Surveillance Sertifikasi DC TIA-942 Rated-3 Tahun Anggaran 2022;PT. WIENNEXINDO SOLUTION;900000;637901;632700;522191;Barang;Jasa Lainnya;1;Tender;0,01;DKI Jakarta;Operasional/TUSI;28/10/2022;14/11/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36517285;37105011;Pengadaan Rack Server 42U Direktorat Jenderal Pajak Tahun Anggaran 2022;Mitra Piranti Solusindo;1050000;826950;731614;532111;Modal;Pengadaan Barang;2;Tender;0,12;DKI Jakarta;IT;14/10/2022;01/11/2022;13
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA TAHUNA;36840089;37094011;Paket Pengadaan Jasa Konsultansi Perencanaan Pembangunan Gedung Kantor KPPN Tahuna;PT. WOWONGTEHU INDAH;400000;349392;325834;533111;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,07;Sulawesi Utara;Konsultansi Konstruksi;13/10/2022;22/11/2022;29
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36890578;37093011;Lisensi Perangkat Lunak Foglight;PT. Tiga Berlian Komputindo;4340561;4273783;4273467;536111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;18/10/2022;02/11/2022;12
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36594863;37092011;Pengembangan Sistem Operasi Kementerian Keuangan TA 2022;PT. MITRA INTEGRASI INFORMATIKA;12732720;12226316;9901353;536111;Modal;Pengadaan Barang;2;Tender;0,19;DKI Jakarta;IT;17/10/2022;02/11/2022;13
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36793016;37084011;Pemeliharaan Lisensi Software Red Hat Process Automation Manager Tahun Anggaran 2022;PT.Karya Indah Nusantara;1108800;1042564;984614;523199;Barang;Pengadaan Barang;1;Tender;0,06;DKI Jakarta;IT;25/10/2022;09/11/2022;12
2022;KANTOR PELAYANAN PAJAK PRATAMA JAKARTA MENTENG DUA;36594864;37080011;Pengadaan Main Control Fire Alarm (MCFA) KPP Pratama Jakarta Menteng Dua;PT. DANA SIMBA;301771;301771;271839;532111;Modal;Pengadaan Barang;1;Tender;0,1;DKI Jakarta;Pengadaan Peralatan Mesin;13/10/2022;26/10/2022;10
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36594884;37077011;Pengadaan Uninterruptible Power Supply (UPS);PT. TRIMEGA INDO ABYUDAYA;10917738;10013088;8010315;532111;Modal;Pengadaan Barang;2;Tender;0,2;DKI Jakarta;Pemeliharaan Peralatan/Mesin;11/10/2022;27/10/2022;13
2022;BADAN KEBIJAKAN FISKAL;36753808;37068011;Pengadaan Jasa Konstruksi Penguatan Struktur Atap Gedung RM Notohamiprodjo;CV. Maira Kusuma Abadi;1890000;1874836;1499467;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;12/10/2022;02/11/2022;16
2022;SEKRETARIAT JENDERAL;36644653;37064011;Jasa Event Organizer Penyelenggaraan Ministry Of Finance Festival (Mofest) Tahun 2022;PT. ERA VISI INTERMEDIA;609000;608505;570951;522191;Barang;Jasa Lainnya;2;Tender;0,06;DKI Jakarta;Operasional/TUSI;07/10/2022;18/10/2022;8
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA SUMBAWA BESAR;36658660;37055011;Perencanaan Konstruksi Gedung dan Bangunan;PT. VERTEXINDO KONSULTAN;400000;337827;337133;533111;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0;Nusa Tenggara Barat;Konsultansi Konstruksi;03/10/2022;14/11/2022;31
2022;KANTOR PENGELOLAAN PEMULIHAN DATA;36742172;37054011;Pengadaan Sistem Pendingin Ruangan (AC Sentral) KPPD;PT. REKA PERDANA INDONESIA;780650;780647;624517;532111;Modal;Pengadaan Barang;1;Tender;0,2;Kalimantan Timur;Peralatan dan Perlengkapan Perkantoran;10/10/2022;24/10/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36703002;37043011;Pengadaan Peremajaan Infrastruktur UPDDP Tahun Anggaran 2022;PT. MITRA INTEGRASI INFORMATIKA;5639798;4396932;3791205;532111;Modal;Pengadaan Barang;1;Tender;0,14;Sulawesi Selatan;Pengadaan Peralatan Mesin;28/09/2022;18/10/2022;15
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36493940;37038011;Pengadaan Perangkat Antispam Tahun Anggaran 2022;PT.Multipolar Technology Tbk;8422680;6266616;6196575;536111;Modal;Pengadaan Barang;1;Tender;0,01;DKI Jakarta;Pengadaan Peralatan Mesin;29/09/2022;18/10/2022;14
2022;BALAI DIKLAT KEUANGAN PEKANBARU;36632551;37036011;Pengadaan Jasa Konsumsi Pelatihan Teknis Kesamaptaan Tahun Anggaran 2022;CV.Q-SI CATERING;418080;300276;255702;521211;Barang;Jasa Lainnya;1;Tender;0,15;Riau;Operasional/TUSI;30/09/2022;17/10/2022;12
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;36683748;37030011;Pekerjaan Renovasi Guest House Pusdiklat Bea dan Cukai Tahun Anggaran 2022;PT. REKA PERDANA INDONESIA;5085271;4679809;3743847;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;27/09/2022;17/10/2022;15
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36574058;37029011;Pemeliharaan Kofax Tahun Anggaran 2022;PT PRATAMA NATANUSA MANDIRI;4658500;4658500;4655500;523199;Barang;Jasa Lainnya;1;Tender;0;DKI Jakarta;Pemeliharaan Peralatan/Mesin;17/10/2022;01/11/2022;12
2022;KANTOR PELAYANAN PAJAK PRATAMA JAKARTA KEMAYORAN;36628628;37018011;Pengadaan Jasa Konstruksi Renovasi Gedung  Kantor Pelayanan Pajak Pratama Jakarta Kemayoran Tahun Anggaran 2022;PT. TRI PUTRA ARAY AXELA;1929000;1928983;1543186;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;23/09/2022;12/10/2022;14
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;36555828;37013011;Pekerjaan Sport Centre Pusdiklat Pajak Tahun Anggaran 2022;PT. ADONIA PUTRI MANDIRI;405435;403118;322494;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;27/09/2022;17/10/2022;15
2022;SEKRETARIAT JENDERAL;36584407;37007011;Pengadaan Karpet Aula Mezanine Gedung Djuanda I Kantor Pusat Kementerian Keuangan;CV. MITRA CARPET INDONESIA;1456764;1299609;1007769;532111;Modal;Pengadaan Barang;1;Tender;0,22;DKI Jakarta;Penambah Nilai Gedung;30/09/2022;17/10/2022;12
2022;BADAN KEBIJAKAN FISKAL;36454395;37005011;Paket Pengadaan Pengadaan Jasa Professional Congress Organizer (PCO) Dalam Rangka Dalam Rangka Penyelenggaraan Event Tambahan Finance Track Presidensi G20;PT. ROYALINDO EXPODUTA;14131399;14131399;14129828;522191;Barang;Jasa Lainnya;2;Tender;0;Bali;Operasional/TUSI;20/09/2022;03/10/2022;10
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36517286;36999011;Pengadaan Infrastruktur Application Delivery Controller Tahun Anggaran 2022;PT. Packet Systems Indonesia;26269850;21270042;20948595;532111;Modal;Pengadaan Barang;2;Tender;0,02;DKI Jakarta;IT;21/09/2022;05/10/2022;11
2022;KANTOR PELAYANAN PAJAK PRATAMA BONTANG;36482468;36997011;Pengadaan Pekerjaan Konstruksi Kegiatan Pematangan Tanah KP2KP Sangatta Tahun Anggaran 2022;CV DHANAN JAYA;650000;649848;519881;531111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Kalimantan Timur;Pekerjaan Konstruksi;26/09/2022;11/10/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36357557;36996011;Pekerjaan Renovasi Rumah Dinas Lingkup Kantor Pusat Ditjen Perbendaharaan Tahun 2022;CV. MTH;1354200;1096880;877504;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;17/09/2022;03/10/2022;11
2022;KANTOR WILAYAH DJP RIAU;36594865;36987011;Pengadaan Jasa Konsultansi Perencana Renovasi Atap Gedung Kanwil DJP Riau Tahun Anggaran 2022;PT. CALVINDAM JAYA. EC;215199;215164;176601;533111;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,18;Riau;Konsultansi Konstruksi;16/09/2022;21/10/2022;26
2022;KANTOR PUSAT DJKN;36470385;36986011;Pemeliharaan  Lisensi Aplikasi SIPKN;PT Inovasi Mandiri Pratama;1361250;1361250;1305915;523199;Barang;Jasa Lainnya;1;Tender;0,04;DKI Jakarta;IT;23/09/2022;10/10/2022;12
2022;SEKRETARIAT JENDERAL;36584460;36984011;Pengadaan Peralatan Penunjang Kegiatan Kehumasan Kementerian Keuangan Tahun Anggaran 2022,PENGADAAN PERALATAN PENUNJANG KEGIATAN KEHUMASAN KEMENTERIAN KEUANGAN TAHUN ANGGARAN 2022;CV. Harrisma Computer;896635;508741;493522;532111;Modal;Pengadaan Barang;1;Tender;0,03;DKI Jakarta;Peralatan dan Perlengkapan Perkantoran;30/09/2022;17/10/2022;12
2022;LEMBAGA MANAJEMEN ASET NEGARA;36175847;36973011;Pengadaan Fire Supression System Gedung Arsip LMAN;Heraya Mitra Abadi;641507;402525;379341;537112;Modal;Pengadaan Barang;1;Tender;0,06;DKI Jakarta;Pengadaan Peralatan Mesin;14/09/2022;27/09/2022;10
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36574069;36971011;Pengadaan Perangkat Next Generation Firewall Kementerian Keuangan Tahun Anggaran 2022;PT. MITRA SOLUSI INFOKOM;10478276;9735219;9734034;532111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;14/09/2022;03/10/2022;14
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36517287;36966011;Pengadaan Infrastruktur Surrounding Pembaruan Sistem Inti Administrasi Perpajakan Tahun Anggaran 2022;PT. SIGMA CIPTA CARAKA;17517156;10307793;9781946;532111;Modal;Pengadaan Barang;1;Tender;0,05;DKI Jakarta;IT;14/09/2022;03/10/2022;14
2022;KANTOR PELAYANAN PAJAK PRATAMA BENGKULU DUA;36290393;36964011;Gedung/Bangunan;CV. YORAKHA;484294;484000;387200;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Bengkulu;Pekerjaan Konstruksi;14/09/2022;28/09/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36536033;36954011;Pengadaan Lisensi Database Sistem Informasi Kredit Program Pada DRC Kementerian Keuangan Tahun 2022;PT Infracom Technology;25820000;25516680;25396680;532111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;20/09/2022;07/10/2022;14
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36460251;36953011;Pengadaan Jasa Perpanjangan Lisensi (Renewal License) dan Perpanjangan Masa Garansi (Extended Warranty) Server Backup Pada Data Center Kementerian Keuangan Tahun 2022;PT. Kemala Inti Solusi;2575862;2084580;2077580;523121;Barang;Jasa Lainnya;1;Tender;0;DKI Jakarta;IT;12/09/2022;26/09/2022;11
